episode,seed,original_return,generated_return,length,terminated,truncated,component.landing_proxy,component.progress_reward,component.stability_penalty,behavior.both_contact_rate,behavior.final_abs_angle,behavior.final_distance,behavior.final_speed,behavior.left_contact_rate,behavior.outcome,behavior.right_contact_rate,behavior.source,behavior.termination_reason
0,10005,-113.17028102543297,1.5286140821079863,74,True,False,1.0,1.217321278886287,-0.6887071967783008,0.02702702702702703,0.022380834445357323,0.1962732505154193,2.5569254940597666e-08,0.02702702702702703,terminated_unclassified,0.02702702702702703,derived_from_declared_observation_and_action,unknown
1,10006,-116.94563349363713,0.12029208282460001,78,True,False,0.0,1.004275495180155,-0.8839834123555542,0.02564102564102564,0.0758209228515625,0.4114740215404451,1.0487294676888512,0.02564102564102564,terminated_unclassified,0.02564102564102564,derived_from_declared_observation_and_action,unknown
2,10007,-113.99044989890132,0.17655869700507199,81,True,False,0.0,1.0327290587356053,-0.8561703617305331,0.012345679012345678,0.3213214576244354,0.38523434143926505,0.997682928162899,0.037037037037037035,terminated_unclassified,0.012345679012345678,derived_from_declared_observation_and_action,unknown
3,10008,-115.27308124986347,1.5423205336748398,76,True,False,1.0,1.2402092425497313,-0.6978887088748914,0.02631578947368421,0.0001868666149675846,0.1740821263673309,1.1928563416607616e-07,0.02631578947368421,terminated_unclassified,0.02631578947368421,derived_from_declared_observation_and_action,unknown
4,10009,-113.91512355186575,0.08371444779626099,74,True,False,0.0,0.9404132119149442,-0.8566987641186828,0.02702702702702703,0.0670260488986969,0.4736682406355682,0.1638418640784453,0.02702702702702703,terminated_unclassified,0.02702702702702703,derived_from_declared_observation_and_action,unknown
5,10010,-97.86895996080159,0.3309094142554423,52,True,False,0.0,1.0500270427574656,-0.7191176285020231,0.019230769230769232,0.24394942820072174,0.34971142849602277,2.982339055768361e-08,0.019230769230769232,terminated_unclassified,0.038461538461538464,derived_from_declared_observation_and_action,unknown
6,10011,-100.41069130233493,0.2518357516580185,60,True,False,0.0,1.0321823957711813,-0.7803466441131626,0.03333333333333333,0.1605750322341919,0.37166062748873696,0.12711079411957693,0.05,terminated_unclassified,0.03333333333333333,derived_from_declared_observation_and_action,unknown
7,10012,-125.88548932077182,0.19184565385516242,67,True,False,0.0,0.9862241061233239,-0.7943784522681616,0.0,0.0257076658308506,0.4249316868828492,0.7977684696898429,0.014925373134328358,terminated_unclassified,0.0,derived_from_declared_observation_and_action,unknown
8,10013,-114.86164129750038,-0.04868578160368503,69,True,False,0.0,0.8776447910569152,-0.9263305726606001,0.0,0.2508198320865631,0.5332155513669976,1.6066983523963871,0.014492753623188406,terminated_unclassified,0.028985507246376812,derived_from_declared_observation_and_action,unknown
9,10014,-104.78493586996316,1.5002672376504553,60,True,False,1.0,1.1955458763069657,-0.6952786386565102,0.03333333333333333,0.04677388817071915,0.20892033139401725,0.28284683910697606,0.03333333333333333,terminated_unclassified,0.03333333333333333,derived_from_declared_observation_and_action,unknown
10,10015,-103.31460734325884,0.6237322037819888,82,True,False,0.0,1.321112541134539,-0.69738033735255,0.012195121951219513,0.0002623824402689934,0.096670537741281,1.5865957895391884e-07,0.024390243902439025,terminated_unclassified,0.012195121951219513,derived_from_declared_observation_and_action,unknown
11,10016,-111.38820986938707,1.6851199698051298,62,True,False,1.0,1.3448398449482952,-0.6597198751431661,0.03225806451612903,0.002633575117215514,0.06114476838561226,0.05467302352190544,0.03225806451612903,terminated_unclassified,0.03225806451612903,derived_from_declared_observation_and_action,unknown
12,10017,-103.81033827852099,0.433073616423307,54,True,False,0.0,1.146185128118384,-0.713111511695077,0.0,0.18474531173706055,0.25555396107528744,1.0164412286668916,0.037037037037037035,terminated_unclassified,0.0,derived_from_declared_observation_and_action,unknown
13,10018,-103.0396739528197,0.5940083104918541,54,True,False,0.0,1.2886961770454928,-0.6946878665536389,0.018518518518518517,0.004144685342907906,0.11192609536194491,1.2011518046547511,0.037037037037037035,terminated_unclassified,0.018518518518518517,derived_from_declared_observation_and_action,unknown
14,10019,-128.0426621876998,1.5349951274172429,68,True,False,1.0,1.2308128293237608,-0.6958177019065175,0.014705882352941176,0.007504720240831375,0.1793092513391303,0.2446011726021797,0.029411764705882353,terminated_unclassified,0.014705882352941176,derived_from_declared_observation_and_action,unknown
15,10020,-122.03381456559113,0.06963218630831386,71,True,False,0.0,0.9462502695142182,-0.8766180832059043,0.014084507042253521,0.08500854671001434,0.46544393209550444,1.5002884266612686,0.014084507042253521,terminated_unclassified,0.028169014084507043,derived_from_declared_observation_and_action,unknown
16,10021,-108.75911764103125,0.1758524816797439,59,True,False,0.0,0.9750633987628552,-0.7992109170831112,0.01694915254237288,0.17904618382453918,0.4305898511633062,0.9256526080860303,0.03389830508474576,terminated_unclassified,0.01694915254237288,derived_from_declared_observation_and_action,unknown
17,10022,-97.067313946442,1.6510190067911168,85,True,False,1.0,1.3675568797543156,-0.7165378729631993,0.023529411764705882,0.009988837875425816,0.05155728368098418,0.1300331813671222,0.023529411764705882,terminated_unclassified,0.023529411764705882,derived_from_declared_observation_and_action,unknown
18,10023,-110.27018275742819,1.6785492342436288,77,True,False,1.0,1.3482969269050982,-0.669747692661469,0.025974025974025976,0.00028394017135724425,0.0669956153061382,4.518104279432353e-05,0.025974025974025976,terminated_unclassified,0.025974025974025976,derived_from_declared_observation_and_action,unknown
19,10024,-119.48327835320589,0.10105698718792575,62,True,False,0.0,0.9624042908269607,-0.8613473036390348,0.016129032258064516,0.026998057961463928,0.44384111707474894,1.2283826743799628,0.016129032258064516,terminated_unclassified,0.03225806451612903,derived_from_declared_observation_and_action,unknown
