#{"t_start": 1783432667.667291, "env_id": "LunarLander-v3"}
r,l,t
-61.850119,109,3.026246
-94.796999,70,3.268152
-264.311052,84,3.667034
-118.654055,93,3.888723
-113.92296,137,4.290305
-393.2154,89,4.642509
-287.822325,112,4.973139
-145.606688,90,5.211872
-156.684095,95,5.433584
-141.392412,116,5.639598
-134.249176,102,8.251166
-154.836692,64,8.473872
-84.094074,89,8.682131
-53.848995,122,9.100855
-96.745205,99,9.410211
-134.729131,91,9.626724
-105.003872,70,9.772663
-119.698743,64,9.98752
-204.627557,79,10.245182
-111.446703,90,10.566669
-200.23199,106,10.80313
-284.1965,135,13.165478
-178.580007,69,13.326295
-243.589991,95,13.524745
-49.007514,64,13.67544
-251.537658,95,13.984076
-11.398786,80,14.287335
-155.492498,107,14.790945
-254.098456,63,15.009634
-154.219485,126,15.530587
-114.838916,103,15.759192
-57.812529,61,15.910642
-215.859567,83,16.157102
-109.351916,85,19.198915
-103.823314,100,19.474387
-76.310179,111,19.996723
-152.072714,98,20.510546
-50.664923,63,20.705412
-133.865716,76,20.878802
-126.374479,96,21.08213
-100.251387,82,21.233638
-100.958189,80,21.376438
-269.714093,80,21.556036
-81.095672,113,21.791517
-100.427698,77,23.585366
-61.408283,74,23.754951
-131.593555,97,23.949816
-103.969808,83,24.170942
-88.642722,84,24.392542
-106.672203,85,24.595011
-85.768053,109,24.855217
-275.87772,96,25.05703
-321.598299,111,25.274931
-53.947838,65,25.437744
-34.844456,69,25.637923
-67.183257,64,25.887701
-76.500251,61,26.081361
-48.958874,83,28.832969
-170.122471,115,29.057556
-183.012258,94,29.229002
-108.412807,96,29.398088
-250.335105,105,29.679973
-139.388224,85,30.000307
-189.895088,95,30.251369
-131.370047,122,30.57791
-81.290411,76,30.785104
-53.109728,63,30.918338
-156.43332,112,33.353493
-71.336668,77,33.499221
-76.744702,94,33.714147
-124.600588,99,33.930229
-108.057437,85,34.150194
-95.770522,116,34.381592
-248.149112,155,34.943071
-29.441904,137,35.5261
-353.570739,123,36.064506
-181.400903,116,36.630548
-95.536482,90,39.447197
-234.169534,140,40.162329
-112.043109,126,40.50917
-155.441854,148,40.809877
-113.838426,120,41.116219
-45.139156,79,41.419943
-27.513973,83,41.646619
-280.722777,93,41.924815
-110.575978,96,42.208794
-36.390621,125,44.879466
-61.443636,83,45.209265
-79.448647,71,45.40887
-67.727323,90,45.676502
-94.451305,140,45.990251
-163.439793,111,46.33036
-45.516088,90,46.551091
-42.607797,131,46.891367
-146.920317,113,47.207081
-66.713134,69,47.431966
-76.803481,78,50.502408
-121.557427,114,50.752808
-107.668026,95,51.017132
-224.502906,132,51.276876
-106.021275,96,51.468164
-66.284351,86,51.680445
-126.452833,101,51.884181
-65.545536,110,52.174643
-49.926149,83,52.389986
-55.946773,102,52.749086
42.231468,91,55.35486
-72.297207,161,55.703679
-67.980106,199,56.354433
-52.45881,117,56.669892
-72.0032,132,56.940282
6.053754,141,57.29857
-72.098375,123,57.657506
-62.801119,93,57.871624
-88.4806,91,60.565148
-6.614838,99,60.818943
-46.318079,131,61.137903
-174.452463,132,61.48599
-22.602975,157,61.841646
-87.115973,90,62.00668
-24.056312,128,62.261597
-101.443552,100,62.435045
-167.857954,130,62.676809
-101.530169,126,65.036219
-141.409261,255,65.816691
-33.825701,120,66.059046
-137.473859,93,66.282546
0.413006,130,66.533319
-72.137098,164,66.980766
-36.538787,129,67.251083
-123.44064,135,69.252568
-6.00553,146,69.712162
-169.132049,176,70.081755
-74.883269,117,70.471876
-23.062348,159,70.988434
-63.287626,111,71.514326
-69.511619,161,71.976019
-93.672753,223,74.556323
-43.01993,178,74.99192
-48.882518,151,75.365213
-39.934978,131,75.675652
-108.764796,124,75.951887
-23.378541,170,76.396841
-15.654294,124,78.407439
-37.553449,224,78.81943
-108.985313,217,79.218481
-68.975011,162,79.645518
-47.632255,174,80.027565
-28.084577,129,80.281982
77.550363,1000,85.469018
-101.574806,163,88.121277
-23.084434,277,88.950382
-8.930802,146,89.270328
-6.356956,133,89.558135
-76.191826,170,89.932567
-21.548392,163,90.346539
-14.355519,148,93.813751
-4.81873,163,94.318838
-142.017881,142,94.677493
54.617529,168,95.014171
-76.462578,215,95.451264
36.380384,1000,99.569725
-13.877256,149,100.111415
-26.795159,159,102.293601
-22.063514,152,102.950562
-24.140451,209,103.607355
-27.673088,145,104.006346
-17.791782,155,104.506317
91.399206,1000,108.494512
15.335342,114,108.745683
-13.986561,196,109.162043
11.283233,148,111.624494
10.218063,145,112.081249
-2.556054,122,112.437624
-3.096677,169,112.993385
-12.321208,142,113.366822
45.543988,146,113.663039
-12.154752,149,114.155988
61.237113,1000,119.316253
-15.289264,147,121.572105
12.988615,193,121.983236
37.394035,1000,126.481436
-149.446654,215,126.992424
-189.595733,373,127.952466
-19.085959,186,128.606633
-14.852844,221,131.409155
-179.777936,946,135.789375
38.242195,169,136.164779
-76.886337,217,136.717731
1.546955,238,137.216193
7.867116,208,137.656776
-4.337936,140,140.319948
24.583272,193,140.767392
-7.240958,201,141.139312
25.950565,174,141.480891
137.309086,1000,146.117744
-178.615437,259,146.600177
109.10032,1000,150.438422
129.228747,1000,154.300374
-46.142287,134,154.55925
94.200115,1000,158.776199
49.297359,1000,162.904599
145.574584,1000,167.756877
94.681796,1000,172.660345
159.062078,1000,180.48665
-30.153034,319,184.508042
71.888322,1000,194.337758
5.699402,312,195.260339
-50.407627,265,196.418043
136.302441,1000,203.090929
110.716117,1000,209.148825
-19.389625,268,209.782431
149.558301,963,214.580566
98.184316,1000,220.233094
135.70311,1000,226.449372
47.563058,1000,231.917903
72.35064,1000,237.931801
69.659906,1000,244.123855
49.378021,220,245.072998
80.70391,1000,250.877555
114.228578,1000,255.55091
79.05861,1000,259.530381
90.19081,1000,263.956313
44.476071,1000,268.550779
110.795639,1000,272.317353
-18.69466,523,275.430205
104.342872,1000,279.753965
90.807011,1000,283.811388
-48.57554,365,284.697047
84.830438,1000,288.695581
74.32279,1000,292.933589
115.466309,1000,297.12014
126.390116,1000,301.050548
128.009058,1000,304.750232
100.229774,1000,309.085454
122.127967,1000,313.961465
127.397525,1000,318.124341
-37.425217,247,318.744601
129.210915,1000,322.476656
128.431017,1000,326.409543
126.511712,1000,331.231162
96.557746,1000,335.484837
118.459921,1000,339.413079
102.358136,1000,343.552351
116.072274,1000,347.865731
139.883879,1000,352.518383
142.182402,1000,357.186577
107.742276,1000,361.51047
8.831787,346,362.543956
119.383476,1000,366.687865
120.150998,1000,371.649796
-4.284447,252,372.312973
134.022877,1000,376.840059
101.195147,1000,381.437069
113.797076,1000,386.12716
138.828523,1000,390.565229
157.674529,1000,395.164161
123.334475,1000,399.725604
146.945014,1000,404.58684
131.381998,1000,412.578586
132.403423,1000,417.249846
126.689772,1000,423.612344
-21.865119,299,428.208912
130.683453,1000,431.60394
146.160729,1000,437.965421
119.566587,1000,444.158722
141.039063,1000,450.494953
32.635123,275,453.651821
26.833637,282,454.598038
167.598837,1000,460.28141
186.665359,1000,465.740319
151.232126,1000,470.762451
168.981989,1000,476.176172
176.930782,1000,482.218757
123.227332,1000,487.893598
47.941283,270,488.746259
145.573623,1000,494.621552
146.526354,1000,500.601562
126.475225,1000,506.27661
143.777401,1000,511.979603
141.777644,1000,518.983418
106.385274,1000,525.20413
43.588939,337,526.221359
155.094899,1000,531.572552
179.641102,1000,536.899587
118.942167,1000,541.087533
134.146266,1000,544.9804
113.80471,1000,549.55975
140.841745,1000,553.858588
109.683467,1000,557.709876
237.93995,923,561.483009
174.038473,1000,565.772421
123.821127,1000,570.33512
146.09931,1000,575.240468
99.339296,1000,579.386321
91.466239,1000,583.954099
141.092101,1000,588.532206
165.60075,1000,593.608865
137.031748,1000,600.522491
280.701132,411,602.220174
117.608081,1000,608.106158
125.925361,1000,612.700346
18.080683,298,613.489283
150.618302,1000,617.410828
159.945483,1000,623.561718
121.233034,1000,627.804178
165.362027,1000,632.594518
122.336417,1000,636.836633
112.210193,1000,640.644208
140.36014,1000,645.066324
122.818294,1000,649.204849
165.542941,1000,653.703156
246.311155,615,656.721756
149.694378,1000,661.198099
181.496944,1000,665.275673
156.003821,1000,671.939663
262.110943,674,675.762192
228.323315,493,682.184784
253.634108,414,683.338833
273.867835,696,687.835973
254.206387,408,688.886202
269.464347,547,692.52518
280.733366,322,693.281006
269.776795,409,696.172446
235.039309,419,697.086887
283.580719,435,698.572523
285.529419,411,701.064433
3.041259,301,701.895921
214.514399,464,704.644395
253.706048,394,705.397044
279.980395,448,706.236064
