#{"t_start": 1783432667.5178642, "env_id": "LunarLander-v3"}
r,l,t
-234.529508,100,3.120543
-95.862654,90,3.441669
-101.752237,64,3.770922
-116.14609,96,4.023895
-173.93654,62,4.15914
-333.457524,90,4.471258
-97.762728,61,4.707286
-77.393813,61,4.916435
-115.481091,114,5.224241
-238.644963,60,5.392514
-55.121534,67,5.545662
-113.9866,76,5.689973
-175.109427,89,8.247298
-100.834637,67,8.400593
-291.692828,98,8.709533
-82.466078,83,8.899559
-145.862223,90,9.241895
-343.181895,141,9.661994
-23.478199,107,9.887061
-324.17845,128,10.298331
-366.604992,91,10.646045
-111.690324,105,10.88314
-68.307928,71,11.027803
-117.160292,101,13.32725
-89.675414,65,13.481702
-92.696477,72,13.632196
-203.328724,74,13.797591
-344.362676,97,14.100855
-222.760892,134,14.60988
-242.240228,114,15.110932
-182.655674,111,15.608479
-161.744461,114,15.876164
-69.255997,81,16.076142
-148.576062,108,19.161834
-150.888741,100,19.456065
-107.504442,104,19.856211
-92.454052,69,20.166662
-160.191216,92,20.667687
-157.369265,64,20.859242
-182.476449,100,21.081212
-139.079959,68,21.219134
-91.197081,71,21.359945
-227.03437,70,21.480994
-263.941654,97,21.686227
-104.38702,66,21.833931
-119.142546,112,22.04501
-149.298234,85,23.885797
-94.984715,68,24.027994
-62.456222,113,24.29247
-207.92763,114,24.588594
-129.042306,109,24.878136
-68.037428,71,25.026283
-121.547432,101,25.235203
-127.800182,81,25.391339
-133.400869,105,25.651344
-125.218221,63,25.836334
-376.367559,100,26.208194
-127.908133,112,29.031317
-129.422167,83,29.186928
-204.851839,90,29.35603
-101.412741,109,29.547515
-154.031261,108,29.836187
-200.886745,100,30.19385
-206.819824,78,30.403786
-176.901964,124,30.733572
-114.913579,117,31.029851
-117.220083,85,31.204145
-89.468919,83,33.57195
-78.846195,79,33.716728
-121.98473,101,33.964055
-94.515499,104,34.2137
-99.540222,102,34.42913
-98.340838,65,34.586498
-62.882868,72,34.848859
-103.255391,82,35.162438
-64.362694,114,35.627495
-81.181074,88,36.094716
-82.808235,124,36.670839
-111.695274,83,39.442684
-108.985279,74,39.736958
-93.290829,120,40.353089
-193.142103,111,40.653312
-63.193771,153,40.966035
-74.006186,90,41.202614
-103.460792,96,41.549211
-64.875897,75,41.747895
-185.127247,126,42.109712
-86.825614,75,42.341787
-62.683681,117,44.97098
54.76175,121,45.442036
-113.40773,143,45.854073
-113.351124,80,46.047133
-11.439596,86,46.200061
-60.465577,117,46.586642
-125.811771,128,46.871299
-88.233535,133,47.26555
-83.130859,102,47.5717
-131.978276,113,50.735833
-113.2936,152,51.114331
-64.842675,144,51.405945
-171.983067,115,51.637925
-79.404653,89,51.85196
-51.050343,86,52.022231
-78.047202,71,52.213095
-372.390065,154,52.656637
-104.002563,83,52.916273
-58.455095,86,55.510264
-43.348623,113,55.715946
-77.800382,116,56.13351
-67.155204,116,56.469504
-20.682097,92,56.743927
-50.038344,120,56.983054
-265.742066,205,57.493289
-17.97752,160,57.92557
-85.323104,80,58.110969
-72.771053,136,60.938607
-48.594837,117,61.209768
-136.79127,108,61.490844
-30.034007,152,61.869921
-38.889372,128,62.122036
-113.216858,160,62.433834
-37.045389,175,62.74273
-102.771377,142,65.115644
-133.973395,121,65.461779
0.99948,101,65.834481
-94.326822,137,66.118651
-72.963288,122,66.401343
-44.832365,116,66.632118
-54.953227,101,66.818274
-72.340993,156,67.274777
-32.948525,176,69.351815
-4.381325,140,69.755652
-54.253364,94,70.007434
-62.926843,172,70.385875
-34.312334,182,71.045572
-74.797102,105,71.464179
-22.677361,273,74.418865
-67.699184,102,74.60509
-51.673213,110,74.836944
13.028568,151,75.244586
-30.538295,103,75.48946
-78.410586,140,75.816677
-18.826847,141,76.125915
-31.531764,140,76.500383
