#{"t_start": 1783432667.5148706, "env_id": "LunarLander-v3"}
r,l,t
-66.609825,57,2.959085
-90.901386,57,3.197935
-405.758178,100,3.643866
-118.15584,99,3.958596
-225.050053,82,4.130504
-158.361381,140,4.586333
-115.567823,107,5.000543
-281.546119,113,5.277534
-278.599971,92,5.511006
-103.895828,68,5.646078
-236.31714,76,5.782692
-114.52468,92,8.36027
-263.058047,115,8.720454
2.231626,61,8.853506
-119.595502,110,9.246882
-136.764813,66,9.413151
-92.386425,80,9.683025
-196.772835,99,9.884061
-94.219827,74,10.120569
-112.068372,87,10.396609
-364.931587,103,10.74553
-48.673506,65,10.892113
-450.560904,96,11.1175
-90.505065,123,13.447982
-66.705876,132,13.737788
-424.549648,87,13.951559
-105.99746,88,14.29607
-118.331616,108,14.813992
-182.9628,93,15.121062
-223.809772,111,15.616682
-241.319994,91,15.826231
-78.346421,66,15.99288
-297.49509,78,16.207946
-70.301541,88,19.257562
-73.221033,82,19.468535
-195.571461,106,19.87992
-213.396301,105,20.376619
-154.209492,109,20.850393
-59.642455,59,20.996141
-116.125832,66,21.12034
-228.466594,96,21.319938
-155.24739,95,21.490208
-123.340201,71,21.629716
-44.97855,73,21.802213
-111.062961,75,21.953184
-92.069821,76,23.745262
-136.287458,128,24.02426
-118.178988,95,24.23103
-75.575617,66,24.429151
-102.071966,101,24.666077
-107.792017,87,24.899527
-274.675129,109,25.130094
-132.298019,88,25.305563
-150.542282,107,25.543515
-128.155765,69,25.722689
-85.841341,77,26.023942
-116.295352,132,28.952448
-109.122065,69,29.084285
-118.721313,105,29.290251
-135.865176,87,29.44414
-144.039803,116,29.723323
-162.802049,91,29.937253
-333.82547,124,30.365605
-374.859686,123,30.693158
-79.795071,114,30.981417
-146.311117,102,31.199166
-171.307127,114,33.626168
-32.85781,123,33.900257
-188.156652,97,34.133801
-184.155229,103,34.36589
-67.018455,60,34.473158
-111.057321,83,34.717178
-42.53841,90,35.070069
-117.987736,93,35.44644
-69.061207,129,36.087778
-119.196594,90,36.541079
-241.539576,126,39.47504
-112.494189,71,39.750892
-79.642801,84,40.193375
-121.431027,124,40.613074
-95.043792,95,40.808681
-133.180322,117,41.061896
-101.178598,107,41.415812
-107.738248,122,41.769706
-123.493111,94,42.054818
-247.559153,114,42.38523
-80.719225,72,44.914002
-8.788251,171,45.486632
-96.870642,111,45.798841
-249.004882,132,46.119362
-67.057571,100,46.395948
-77.330785,121,46.719959
-158.769582,122,47.035283
-128.48567,121,47.371508
-39.039226,121,47.76173
-56.1356,83,50.797791
-129.366741,193,51.278316
-83.027772,163,51.578936
22.514257,1000,56.667982
-102.378119,164,57.016462
-51.09676,97,57.212205
-25.551372,93,57.486656
-105.272232,93,57.752553
-66.594128,125,58.063458
-79.270558,78,60.722818
-13.472952,118,61.010631
-69.818121,112,61.293313
-11.543849,116,61.583185
-161.055749,78,61.79797
-87.770097,112,62.029242
-31.6386,141,62.296831
-39.155864,102,62.493405
-54.389059,185,62.823955
-85.895185,116,65.157141
-85.432339,97,65.431658
-199.973108,184,65.996238
-72.543255,95,66.183138
-112.555465,147,66.529882
-192.023889,219,67.045168
-84.14706,132,67.338493
-40.684369,163,69.401001
-14.716646,139,69.841627
-32.395804,212,70.295356
-103.617996,198,71.00164
-29.777047,144,71.56877
-157.304472,176,72.120977
-92.686085,105,74.475893
-18.059983,96,74.655615
-89.502728,132,74.971364
-30.3838,131,75.319303
-9.918093,157,75.689294
-22.43986,142,75.998643
-23.509313,137,76.286544
-27.284945,154,76.847281
-3.055551,166,78.788659
51.430377,1000,83.978311
-115.663847,217,84.373508
-205.327393,197,84.84088
-59.27401,132,85.109793
104.000691,1000,89.80078
-132.845578,173,90.173629
-128.579822,158,90.773139
-39.610275,149,94.084149
-72.274437,128,94.478619
61.001209,171,94.888579
-146.514098,99,95.097999
-198.792631,130,95.32683
-58.98445,161,95.718843
-32.311965,126,96.120353
9.617962,174,98.165579
0.771292,147,98.522317
2.464585,105,98.751548
-26.522729,125,99.061175
5.414386,147,99.39264
-40.225527,226,100.099438
0.323701,216,102.436864
-24.8117,185,103.177562
0.17179,103,103.54111
-44.023742,174,104.029667
14.342351,104,104.313145
-3.342363,143,104.789307
-203.297671,299,105.693675
-34.60516,178,107.679283
-31.341186,198,108.084973
-10.258781,160,108.37693
24.334117,184,108.782946
-13.006381,110,108.996734
7.162921,175,109.395895
-17.184713,143,111.887294
-61.425291,302,112.822042
-16.160432,170,113.329013
-0.54192,221,113.819446
-15.41473,136,114.279113
116.79937,1000,119.44254
-28.264956,189,121.787733
52.079589,154,122.12219
13.815162,174,122.649266
248.76898,329,123.692455
13.898202,165,124.102507
-127.337637,120,126.217871
-2.324515,186,126.569202
-33.036661,264,127.191007
-76.019227,309,127.989581
19.091465,235,128.759053
138.665427,1000,133.594377
27.483471,236,136.075219
-25.016285,206,136.592027
123.282355,1000,141.128882
