env,method,role,run,unit,seed,sample,iteration,score,score_std,score_min,score_max,episode_length,eval_episodes,threshold,solved,best_so_far,solved_so_far,skeleton,decision,reward_version,path
env_001,Budget-Matched Independent,ablation,runs/env_001/budget_matched_independent_v1,sample_0,,0.0,1,-113.91374460850957,11.072758878091445,-143.6294247468801,-95.65487890251563,68.45,20,200.0,False,-113.91374460850957,False,,independent_sample,reward_v1,runs/env_001/budget_matched_independent_v1/sample_00
env_001,Budget-Matched Independent,ablation,runs/env_001/budget_matched_independent_v1,sample_1,,1.0,2,-18.790022607896226,31.275223728371692,-91.68116527026982,31.492266848265217,126.25,20,200.0,False,-18.790022607896226,False,,independent_sample,reward_v1,runs/env_001/budget_matched_independent_v1/sample_01
env_001,Budget-Matched Independent,ablation,runs/env_001/budget_matched_independent_v1,sample_2,,2.0,3,228.99817899987633,58.04877982991934,127.30583285370419,302.7144983777919,533.65,20,200.0,True,228.99817899987633,True,,independent_sample,reward_v1,runs/env_001/budget_matched_independent_v1/sample_02
env_001,Budget-Matched Independent,ablation,runs/env_001/budget_matched_independent_v1,sample_3,,3.0,4,144.77980100578947,18.918569231532917,116.61007581018872,177.82858675805025,1000.0,20,200.0,False,228.99817899987633,True,,independent_sample,reward_v1,runs/env_001/budget_matched_independent_v1/sample_03
env_001,Budget-Matched Independent,ablation,runs/env_001/budget_matched_independent_v1,sample_4,,4.0,5,-559.7349154103049,78.02615801541198,-650.8034561755429,-373.2755758097099,62.35,20,200.0,False,228.99817899987633,True,,independent_sample,reward_v1,runs/env_001/budget_matched_independent_v1/sample_04
env_001,Budget-Matched Independent,ablation,runs/env_001/budget_matched_independent_v1,sample_5,,5.0,6,-166.95993420248547,30.508644064606344,-225.94471098655606,-116.69007262993048,351.65,20,200.0,False,228.99817899987633,True,,independent_sample,reward_v1,runs/env_001/budget_matched_independent_v1/sample_05
env_001,Budget-Matched Independent,ablation,runs/env_001/budget_matched_independent_v1,sample_6,,6.0,7,-36.731129207699084,28.177699832502043,-116.23032804233412,11.719046736384474,927.6,20,200.0,False,228.99817899987633,True,,independent_sample,reward_v1,runs/env_001/budget_matched_independent_v1/sample_06
env_001,Budget-Matched Independent,ablation,runs/env_001/budget_matched_independent_v1,sample_7,,7.0,8,96.17881936782445,53.139584721484226,43.30227397855454,229.48199372641187,964.5,20,200.0,False,228.99817899987633,True,,independent_sample,reward_v1,runs/env_001/budget_matched_independent_v1/sample_07
env_001,DERES,main,runs/env_001/paper_v4,seed_0,0.0,,1,-70.35367636325427,18.31020950760942,-99.08448410970566,-34.23461626276912,1000.0,20,200.0,False,-70.35367636325427,False,fuel_penalty + landing_reward + proximity,new_best,reward_v1,runs/env_001/paper_v4/seed_0/iter_01
env_001,DERES,main,runs/env_001/paper_v4,seed_0,0.0,,2,-129.324841533804,97.52014533736134,-469.05703647957245,10.136052098290264,69.65,20,200.0,False,-70.35367636325427,False,fuel_penalty + landing_reward + progress,no_meaningful_improvement,reward_v2,runs/env_001/paper_v4/seed_0/iter_02
