#{"t_start": 1783433873.2387698, "env_id": "LunarLander-v3"}
r,l,t
-89.793974,117,2.767264
-59.831873,64,2.877498
-116.277835,85,3.057224
-198.838927,65,3.166131
-185.70391,98,3.398798
-318.436811,110,3.658133
-68.299541,80,3.820345
-239.12005,88,3.996871
-81.112382,79,4.174277
-97.090028,63,4.304497
-314.345932,144,4.569039
-129.557965,88,6.338118
-508.948462,112,6.555155
-108.449987,75,6.72923
-114.596856,68,6.982322
-104.79875,68,7.112837
-124.954131,107,7.526483
-88.989679,85,7.752963
-363.568656,103,8.060661
-142.23087,84,8.23074
-118.802466,113,8.655407
-53.703084,68,8.806557
-96.888532,83,8.998473
0.233507,75,10.851656
-106.690786,90,10.994487
-104.111749,56,11.107155
-13.054577,119,11.352817
-84.651906,134,11.699986
-207.943753,124,11.95295
-130.134388,81,12.138155
-80.203342,68,12.273029
-68.749738,58,12.394384
-303.215152,113,12.64308
-349.702224,101,12.983498
-146.539848,99,15.190567
-221.976385,83,15.367761
-111.457003,84,15.551968
-77.664331,77,15.727387
-31.584148,71,15.875576
-173.262731,73,16.00307
-92.088815,145,16.328014
-103.025717,75,16.489122
-176.445993,73,16.654993
-135.892497,95,16.92687
-150.871637,92,17.140407
-175.007533,123,20.463291
-98.654797,118,20.745002
-88.966166,89,21.016357
-340.94467,100,21.208052
-113.594645,99,21.413201
-137.65914,72,21.562632
-120.949643,113,21.877563
-57.820466,76,22.07606
-115.824484,71,22.215525
-83.290069,90,22.514034
-161.986519,104,22.797394
-153.206085,74,25.940352
-136.364966,106,26.168164
-72.914784,66,26.291647
-140.79515,112,26.545343
-106.65849,74,26.709521
-231.832308,103,26.945948
-66.700207,108,27.127225
-75.650539,63,27.26916
-126.747363,110,27.559608
-119.592478,109,27.786631
-116.471983,115,28.01447
-41.009635,120,30.340371
-158.683162,105,30.58018
-120.695869,143,30.873315
-64.564543,72,31.06726
-49.070469,81,31.418299
-91.925063,80,31.592858
-283.997771,138,31.871351
-95.129514,108,32.079755
-155.400898,94,32.241374
-155.430178,105,33.949562
83.622667,1000,36.312372
-88.449744,124,38.978766
-93.253708,96,39.198042
-153.545987,108,39.547676
-308.470041,141,39.823996
-63.25519,66,39.954731
1.461049,129,40.207366
-145.143174,99,40.441058
-84.164128,71,40.622939
-58.079068,69,40.921717
-58.763122,65,41.240317
-47.519312,80,44.464147
-45.650557,74,44.624749
-38.904501,83,44.798877
-69.672929,92,44.986645
-146.246556,96,45.15518
-86.791408,75,45.288383
-25.881147,81,45.428871
-68.907812,74,45.564391
-76.166174,92,45.7467
-189.845871,112,45.954026
-156.418571,131,46.190644
-113.242097,63,46.328078
-81.165002,91,48.490931
-102.891389,111,48.759755
-117.308063,94,48.968552
-185.418229,110,49.176724
-105.96037,62,49.288205
-103.457433,116,49.49872
-43.280666,62,49.613573
-85.137858,120,49.840713
-98.118721,85,50.130462
-146.937246,124,50.388424
-87.87651,70,50.547226
-210.906982,115,52.7616
-74.208466,70,53.001412
-58.048506,76,53.19525
-96.666048,105,53.437497
-107.021329,121,53.671834
-92.549826,89,54.011556
-67.558906,84,54.273198
-88.310353,77,54.452574
-27.443186,113,54.739838
-25.840055,90,54.956613
-75.465575,72,55.133636
-38.403841,117,57.226237
-58.782271,63,57.349522
-38.791825,116,57.623349
-129.677244,100,57.82692
-76.847864,79,57.969546
-59.542401,63,58.076943
-88.870392,97,58.397927
-98.814353,90,58.633411
-59.396137,112,58.920575
-107.632045,76,59.160889
-185.74441,121,59.488841
-109.236154,108,61.960361
-67.525189,114,62.203139
-142.539666,94,62.37425
-20.237984,118,62.577184
-80.427976,110,62.783502
-219.533364,121,63.014035
36.065553,104,63.201554
-45.881358,88,63.375361
-72.751754,85,63.564901
27.030856,151,65.920684
-85.207568,137,66.260231
-48.730384,100,66.517887
-11.96366,157,66.964758
-88.15909,98,67.153001
-69.704279,115,67.399215
-42.970363,95,67.647229
-40.456441,101,67.886992
14.434555,91,68.08426
-31.91851,136,70.196864
-30.78643,154,70.51889
-120.622067,167,71.097396
-54.865129,130,71.457021
-17.203247,91,71.707541
-39.35747,91,71.989985
-130.900246,124,72.358413
-148.923086,112,72.608213
-16.301967,134,74.462493
-79.397195,97,74.656947
-112.517224,152,75.035108
30.505045,130,75.477509
-81.245908,94,75.701645
-52.379517,148,76.046744
-33.812987,132,76.408028
-43.313415,154,76.882964
-16.693384,114,79.131179
-47.520583,99,79.299011
-1.407649,188,79.663767
73.743489,1000,84.729558
-13.664127,158,85.073014
-14.923706,221,85.543263
-16.326606,226,86.129457
-42.435176,213,89.788038
-4.757865,125,90.207113
-28.028232,222,90.980646
-112.168375,225,91.892226
-52.486138,103,92.387425
-12.064899,205,93.283929
-14.367917,170,96.46279
-129.007903,191,97.151999
-32.404892,285,98.15368
-20.240113,126,98.496619
-14.381762,127,98.823717
-5.652922,135,99.285628
-15.149147,192,101.826977
-19.742536,165,102.280024
-2.838548,218,102.883595
141.300093,1000,108.650279
72.937043,1000,117.309416
131.946008,1000,121.764797
-24.276478,220,122.38796
-58.492726,200,122.733512
8.223281,213,124.900504
89.985585,1000,129.640221
-65.144302,311,130.361144
12.70408,236,130.815109
1.447681,217,131.201142
-240.234385,391,134.106365
-88.64827,250,134.646821
-138.54688,495,135.81558
89.54219,1000,140.201711
-21.982267,220,142.168462
-158.946842,353,142.889585
-134.634093,354,143.868217
-110.489144,231,144.576873
40.553471,1000,148.212027
55.050271,1000,152.606711
-184.151154,349,155.328485
-13.021398,387,156.362227
-34.868347,456,158.795782
93.962993,1000,162.986668
-36.951459,232,163.398878
75.599742,1000,168.037223
69.706331,1000,172.105241
86.44424,1000,176.013316
24.331143,1000,180.422384
-124.924234,754,182.162925
25.055271,1000,186.945317
90.729147,1000,194.008434
48.188489,1000,202.274372
-105.808348,341,205.880119
-30.56137,383,207.021225
-72.861332,324,208.113665
109.467062,1000,214.572694
128.924913,1000,224.429112
-74.321866,419,230.00666
54.373123,1000,237.219887
169.322479,529,240.266323
35.281266,1000,246.821622
88.42464,1000,253.715657
-32.878707,287,257.805161
110.503749,1000,261.576923
113.165567,1000,267.071332
0.624882,242,270.476184
148.280748,1000,276.069505
112.978756,1000,281.29791
9.054304,251,281.865268
138.680363,1000,288.910849
207.476779,520,290.611986
161.989343,1000,296.297707
-1.109447,247,298.485531
-42.317352,233,299.060994
150.405787,624,300.84492
-8.83295,220,302.895036
21.707101,228,303.433487
-66.298932,306,304.184763
179.815514,396,306.678559
148.590342,1000,310.873448
109.643223,1000,314.803638
121.896169,1000,317.590298
3.425315,149,319.65936
149.64369,1000,323.881338
117.64634,1000,327.871071
111.751087,1000,333.486275
91.321231,1000,340.093132
146.618191,1000,344.777548
-14.306984,276,345.902537
142.007813,1000,350.331866
152.917747,1000,354.626153
200.070193,411,355.388089
118.192663,1000,360.065339
141.863987,1000,364.595547
-45.222446,245,365.097079
91.915928,1000,369.226975
118.423812,1000,372.916852
33.220038,221,373.46057
-15.48446,269,376.023115
92.823039,1000,379.853461
-26.822163,269,380.579965
135.119378,1000,384.698083
33.475121,197,385.147388
-37.36569,212,385.843821
230.129622,320,388.364278
