#{"t_start": 1783433873.2851155, "env_id": "LunarLander-v3"}
r,l,t
-255.038011,103,2.698603
-77.598302,84,2.842929
-162.160401,93,3.034098
-124.154935,97,3.21248
-302.87386,88,3.442146
-267.125486,86,3.638208
-114.663547,93,3.829081
-267.264537,124,4.089384
-102.290188,107,4.306497
-5.279381,79,4.442141
-96.118025,79,6.186558
-188.28373,89,6.377854
-150.940781,99,6.562323
-153.582468,74,6.795141
-128.582972,108,7.062288
-177.226727,130,7.533055
-276.21206,100,7.816598
-199.119925,109,8.100246
-115.804833,65,8.361068
-166.737224,137,8.708259
-294.708619,100,8.942724
-296.499046,109,10.855842
-123.788497,115,11.061806
-187.398979,83,11.219549
-194.046824,121,11.533742
-140.807043,106,11.76542
-121.100634,92,11.969054
-79.903752,103,12.180209
-74.303728,68,12.317431
-152.886039,74,12.489547
-338.298142,105,12.734972
-59.739423,65,14.914636
-225.397763,119,15.232653
-104.627257,68,15.377163
-79.367109,72,15.534615
-108.270618,63,15.674718
-76.389983,74,15.833221
-89.729464,88,15.987467
-331.315372,93,16.191786
-244.112265,128,16.479744
-384.17344,103,16.726263
-220.596354,102,17.023526
-101.05526,79,17.191871
-111.009325,105,20.492837
-239.175772,154,20.886223
-68.144791,85,21.072238
-116.080167,75,21.220447
-108.368259,117,21.466084
-46.053799,69,21.645019
-248.033059,124,21.985608
-118.227858,66,22.12116
-107.619149,85,22.342246
-238.107069,80,22.589274
-110.411271,114,25.863845
-115.361304,77,26.02224
-115.77776,108,26.241315
-226.115153,96,26.457208
-48.797041,116,26.711988
-96.353563,109,26.95199
-179.039277,95,27.112922
-84.887466,70,27.279888
-88.684315,115,27.587778
-131.220147,102,27.791724
-95.198239,60,27.905113
-125.552286,80,30.058924
-104.392568,72,30.294025
-94.061226,73,30.470941
-70.702085,67,30.605879
-98.026751,73,30.759339
-132.107325,86,30.959553
-99.484269,82,31.306692
-76.551685,75,31.502767
-78.069716,65,31.616079
-148.606325,73,31.775628
-154.79933,109,31.985302
-109.883016,67,32.108501
-99.904941,90,32.266318
-80.188972,85,33.944228
-136.470323,78,34.093059
-150.76102,133,34.328322
