#{"t_start": 1783433873.3557885, "env_id": "LunarLander-v3"}
r,l,t
-122.855996,105,2.630923
-369.742747,90,2.786865
-370.846905,114,3.011432
-112.8358,76,3.156383
-109.074049,104,3.422687
-126.599684,98,3.636344
-107.371336,71,3.784943
-459.641384,96,3.981873
-336.24875,111,4.216267
-91.076726,95,4.382907
-355.744379,145,6.273659
-105.74485,72,6.410214
-102.522557,74,6.573503
-81.920185,62,6.818585
-304.687861,93,7.00402
-91.929219,81,7.347896
-144.148311,85,7.571951
-105.090049,128,7.947633
-84.665066,59,8.059939
-265.075801,99,8.442624
-114.378155,92,8.652013
-415.344943,104,10.608995
66.672545,92,10.773126
-123.688098,79,10.90098
-103.234018,82,11.060711
-126.614372,110,11.312129
-204.907118,89,11.549086
-113.876965,76,11.704714
-312.398762,101,11.923674
-85.223216,90,12.109536
-14.716396,92,12.301943
-115.143333,70,12.464349
-83.872598,59,12.615208
-59.071788,72,12.866479
-260.32298,107,15.092023
-72.70559,94,15.295071
-132.089862,84,15.482457
-213.860901,72,15.645997
-297.903709,86,15.808081
-271.290948,84,15.9644
-82.408972,64,16.110824
-79.610888,75,16.28934
-151.185283,144,16.61808
-56.509997,122,16.960604
-184.764821,72,17.110099
-116.913629,119,20.449587
-105.157728,91,20.644352
-347.138945,125,20.978962
-98.652953,82,21.13774
-79.716343,78,21.303782
-133.095785,119,21.589847
-81.141772,71,21.782039
-122.201165,76,21.977329
-126.020285,88,22.155391
-91.016436,64,22.391774
-107.982612,66,22.575389
-158.165941,109,25.81258
-99.59476,65,25.94502
-81.871321,90,26.131124
-121.213544,100,26.342957
-183.079105,102,26.583504
-124.111507,104,26.820179
-102.726429,97,26.983769
-86.532745,110,27.229099
-174.964058,117,27.533695
-134.561678,72,27.6757
-128.524239,82,27.8375
-84.803223,64,29.931759
-65.424321,81,30.209029
-38.720327,76,30.39329
-86.559249,108,30.609165
-127.125315,107,30.849595
-114.856472,93,31.202382
-140.326595,93,31.457142
-250.875389,88,31.63254
-84.059178,75,31.781503
-117.539755,74,31.924514
-93.232926,67,32.047266
-93.456757,86,32.19764
-77.728388,80,33.864467
-93.922543,114,34.083214
-93.284643,142,34.341912
-206.361741,141,34.614885
-83.658435,60,34.749792
-87.117773,79,34.933883
-87.360045,72,35.13155
-155.254328,90,35.577916
-117.72274,77,35.75144
-152.114788,115,35.981236
-68.181438,121,38.67894
-152.321524,146,38.941744
-106.85513,105,39.317852
-106.872037,107,39.5482
-114.775618,141,39.818461
-93.840361,96,39.997699
-44.893732,78,40.180625
-157.671981,113,40.434077
-81.930179,100,40.846095
-107.482817,71,41.277996
-117.085601,100,44.425278
-68.824763,86,44.608373
-56.471558,103,44.82463
-65.40583,153,45.099714
-52.774027,82,45.240882
