#{"t_start": 1783434978.1005764, "env_id": "LunarLander-v3"}
r,l,t
-279.85794,97,2.467348
-244.0035,81,2.631609
-257.378479,105,2.846747
-141.561434,107,3.075981
106.043197,1000,6.533557
-216.283838,94,6.733699
-76.733429,72,6.879994
-371.684052,146,7.172175
-79.725596,99,7.355289
-135.287695,101,7.547509
-350.069598,148,9.300455
-149.577868,77,9.443618
-288.686833,125,9.673094
-246.182024,115,9.915542
-84.688671,82,10.061082
-291.802347,104,10.300775
-149.424286,96,10.476648
-178.554611,120,10.696406
-49.282014,91,10.873379
-159.50776,87,11.041439
-91.222108,112,11.23815
-145.450878,109,13.082028
-159.810319,113,13.29392
-156.349717,89,13.444098
-97.696063,74,13.587878
-112.438946,113,13.810553
-336.608759,82,13.961047
-110.200245,87,14.115813
-111.003992,87,14.29978
-79.708531,65,14.42325
-255.846496,133,14.656967
-120.955055,79,14.800106
-94.118496,121,16.692854
-57.263677,63,16.810659
-95.851815,73,16.953251
-137.599419,98,17.128376
-143.447772,137,17.392192
-94.501297,123,17.686679
-80.008086,74,17.826063
-99.733135,71,17.955982
-85.535081,82,18.115044
-98.392792,77,18.254854
-94.432677,100,18.446331
-96.831862,76,20.096909
-76.826971,86,20.260415
-106.402488,71,20.398074
-119.239884,102,20.58979
-163.06605,102,20.792112
-106.742362,84,20.939881
-117.549398,81,21.089184
-328.519366,120,21.328976
-88.640116,111,21.521122
-111.217448,78,21.680025
-199.081016,100,21.893883
-86.71172,109,23.619143
-125.020151,73,23.742101
-198.812434,151,24.036924
-97.265285,86,24.198648
-52.104848,113,24.410571
-88.950974,145,24.660922
-217.025535,121,24.893637
-39.875605,133,25.128797
-235.381642,143,26.862161
-126.765887,118,27.080658
-128.256969,102,27.263272
-223.142152,112,27.469733
-122.211676,103,27.663282
-102.247788,120,27.886191
-112.15185,110,28.12897
-235.787583,117,28.414389
-110.987954,89,28.678885
-58.088119,87,28.938147
-139.324325,121,31.403134
-205.315963,149,31.725928
-90.760356,81,31.92745
-81.90899,90,32.133162
-80.964292,134,32.454227
-163.302424,83,32.701251
-67.163178,90,32.940931
-99.810163,86,33.150945
-106.045342,75,33.513037
-97.358236,111,33.920181
-107.316454,131,36.92737
-156.081033,134,37.304441
-53.405249,81,37.498901
-150.892798,110,37.773275
-92.557432,124,38.013598
-98.204793,58,38.157179
-157.867353,104,38.372936
-143.697314,94,38.591155
21.680923,148,38.926683
-109.581037,141,41.282134
-36.836317,131,41.544658
-60.362537,119,41.830637
-102.163438,79,42.112671
-96.391132,115,42.373042
-12.775392,110,42.60913
-88.728161,98,42.810707
-174.239001,119,43.025358
-104.686415,131,43.275311
-36.045302,75,45.009094
-74.471697,88,45.178206
-25.129283,77,45.356575
-58.364118,125,45.598744
-81.158054,71,45.770416
-93.024557,83,45.932453
-52.481656,73,46.069935
53.707053,1000,49.894327
-88.391269,118,50.166511
-43.705106,132,50.404784
-25.169976,133,50.655462
-24.095119,103,50.833827
-24.343194,142,53.013067
-70.930196,105,53.21567
-34.385496,129,53.440022
-32.483411,84,53.599727
-61.307646,91,53.766435
-63.87143,105,53.949083
-61.264515,122,54.167642
-69.813559,76,54.311974
-51.557853,113,54.538305
-32.131657,105,56.248675
-67.469262,91,56.409846
-68.803447,203,56.839446
-22.562398,132,57.113377
-71.328117,113,57.350336
-79.10488,120,57.63455
-99.703654,146,57.996298
-31.980178,124,58.234301
-61.084286,127,60.225118
17.196487,135,60.488798
-82.167751,122,60.715757
-13.523922,189,61.078751
-13.989447,119,61.293041
9.314346,166,61.607168
-19.311452,139,61.849064
85.578831,1000,65.288091
-9.121323,205,67.238012
-34.367672,172,67.620472
78.912776,1000,71.183742
-10.926683,117,71.402156
-182.553803,171,71.711635
-36.257777,213,72.110319
-30.320913,215,72.521891
3.894117,174,74.424407
76.840536,1000,77.798694
33.87602,135,78.056621
-206.691786,177,78.409363
-59.707478,144,78.66351
31.174716,181,79.011899
-16.760414,206,79.399066
-165.705388,225,81.359582
38.478019,190,81.730541
-210.090942,421,82.6124
-161.366392,114,82.83959
-53.538789,172,83.160579
-33.376049,155,84.972797
129.669755,1000,88.362117
-22.533724,345,89.018815
-119.414923,305,89.574851
-233.165189,383,91.814667
86.514326,1000,95.222409
-42.501853,98,95.549565
-103.200676,171,95.872193
-66.04224,204,96.291665
-169.025619,230,96.697675
-15.935834,172,97.004005
2.54752,239,98.957436
-3.648415,146,99.226879
73.367207,178,99.550646
66.83572,1000,103.32132
103.064958,1000,106.794107
31.119663,169,107.106996
-74.4913,181,107.438211
34.991456,201,107.836867
105.712656,1000,111.534777
-2.249136,307,113.673631
67.093841,224,114.0903
74.414673,1000,117.603901
103.553869,1000,121.017743
-11.521574,204,121.385455
129.50525,1000,124.801506
68.194021,1000,128.19855
-8.90224,253,128.682194
116.2234,1000,132.201751
-16.318974,233,134.170219
-5.604624,222,134.57984
12.625651,250,135.067467
-11.071621,256,135.597793
-9.874963,218,136.032486
12.502473,261,137.98418
-22.133402,282,138.543134
103.2877,1000,142.019462
139.850115,1000,145.458885
141.422645,1000,149.166879
58.409474,1000,152.85648
93.357319,1000,156.350306
105.149309,1000,159.966091
124.44054,1000,163.382176
109.042663,1000,166.80724
122.952258,1000,170.266034
131.468632,1000,173.83337
127.532649,1000,177.539228
179.326351,1000,180.84869
88.97842,1000,184.255661
140.87983,1000,187.734075
143.946626,1000,191.212826
132.198502,1000,194.56747
170.154253,1000,197.916934
124.072406,1000,201.304342
137.599802,1000,205.015845
74.435999,1000,208.515734
116.746873,1000,211.964593
-7.74477,288,212.507571
126.945848,1000,216.085205
-15.332884,301,216.643875
147.282597,1000,220.225585
142.496142,1000,223.794991
98.795117,1000,227.300269
136.835872,1000,231.126226
150.291959,1000,234.69932
108.150076,1000,238.243367
-17.417783,244,238.704404
146.931423,1000,242.363682
82.022306,1000,245.880199
130.077337,1000,249.380534
139.524078,1000,252.798421
139.643749,1000,256.24564
139.824742,1000,259.677226
156.039682,1000,263.20469
-22.50059,324,263.829157
136.246471,1000,267.192142
161.554821,1000,270.583765
135.289191,1000,274.07301
135.966461,1000,277.894691
114.382646,1000,281.960071
104.416409,1000,286.037498
144.180463,1000,289.789897
104.609676,1000,293.54396
116.450775,1000,297.271295
97.884102,1000,301.19506
119.726789,1000,305.315069
142.83145,1000,309.093019
131.521369,1000,312.940388
130.452027,1000,318.094604
121.995357,1000,322.644374
131.264943,1000,326.934585
103.738908,1000,331.171452
129.778919,1000,335.331112
91.722839,1000,339.22876
164.743904,1000,344.174263
133.284741,1000,348.683092
-45.228563,315,349.536374
123.47336,1000,353.314819
150.548875,1000,356.986444
138.153552,1000,360.715665
222.666656,747,363.805096
119.01779,1000,367.209302
144.938035,1000,371.112618
120.061599,1000,375.982704
104.974951,1000,379.573451
117.97343,1000,382.937363
122.248681,1000,386.487136
142.489198,1000,389.955011
112.568734,1000,393.688259
146.105056,1000,397.432183
131.567005,1000,401.158789
162.831564,1000,405.025427
160.453009,1000,407.015982
110.999878,1000,410.587082
158.015938,1000,414.164596
160.600666,1000,418.165188
106.097911,1000,421.871709
154.693217,1000,425.509929
125.26978,1000,429.133784
119.797087,1000,432.708057
123.326798,1000,436.263511
249.944023,668,439.132963
-28.390232,290,439.697915
230.505161,374,442.03253
134.291057,1000,445.638
217.885355,937,449.12332
145.747562,1000,451.30352
251.230979,378,453.689862
284.093139,366,454.338658
242.253025,373,456.793794
255.541584,369,457.476551
255.33998,457,458.393933
244.875317,936,461.983551
41.536581,255,464.177691
247.297475,297,464.808229
250.287598,344,465.507962
218.310456,311,466.047893
259.807243,326,468.343163
250.263993,386,469.091442
271.537442,425,471.500306
152.865896,1000,475.335691
53.790627,298,475.930467
256.117462,313,476.543457
235.505434,319,477.202626
239.890493,398,480.072279
261.297153,324,480.713031
262.447759,335,481.360357
237.827143,336,483.59869
27.498824,268,484.169605
284.216276,490,487.783683
-18.007874,225,488.434824
25.50626,242,489.264172
262.662629,346,490.193622
229.767764,302,492.525307
50.967562,247,493.180625
39.213976,296,493.944081
139.127815,1000,498.782028
262.523036,362,502.905152
33.442903,222,503.399091
10.55781,232,504.070705
25.41091,228,504.799145
243.037351,861,509.23314
251.51873,323,510.118059
239.233268,369,513.378036
222.210213,306,513.98816
276.919122,388,514.827815
263.109511,289,518.333448
96.197009,1000,522.146543
244.932218,302,522.990922
249.594104,258,523.576446
251.30925,334,525.824563
255.454786,282,526.322997
14.512479,213,526.887998
-2.795224,246,527.432642
273.440242,297,530.0386
118.530816,1000,532.008164
25.820719,241,534.556072
229.885367,268,535.202752
277.225633,305,535.808961
24.958827,190,536.18242
275.680727,313,538.462999
301.48177,338,539.370802
142.270609,1000,543.231683
251.753277,301,543.940273
261.435699,315,546.569064
279.707991,282,547.140306
250.756567,330,547.73433
262.041449,328,550.351838
243.118398,327,551.115057
278.391291,632,554.030606
192.983241,536,555.332546
-2.276693,195,555.865143
279.528052,336,558.353356
254.517773,334,558.978594
221.73664,324,559.583224
260.473307,369,562.325882
243.515041,341,563.063333
246.192311,314,563.657928
236.923461,318,565.957216
242.372291,313,566.653869
32.390311,277,567.405092
271.65858,355,568.327459
267.03376,296,570.468775
238.240655,345,571.18595
259.90135,391,572.047573
270.416142,296,575.312367
249.06233,304,575.925864
242.989638,341,576.614926
239.499284,317,579.325295
222.382271,319,579.989527
263.151524,434,580.819942
228.955783,319,583.286706
238.237963,338,584.140076
241.702995,725,587.370543
251.636231,309,588.081208
240.449002,308,588.731257
276.295839,288,591.249888
235.730922,311,591.840871
276.514983,293,592.389309
290.983193,518,595.579067
236.619714,313,596.29641
259.68486,371,596.990208
268.148782,363,599.339878
248.082298,362,600.23178
252.969862,305,600.920817
239.6314,368,603.273766
215.084738,325,603.910755
264.390411,378,604.719926
252.122588,430,607.569021
250.071887,420,608.377235
288.893964,326,610.709647
296.993085,285,611.476728
254.386086,377,612.458028
264.593475,308,614.589303
282.060046,345,615.219009
269.694095,358,616.067023
247.022074,346,618.648583
247.908842,335,619.257844
282.402942,340,619.890442
251.942646,351,622.685751
231.816304,351,623.611863
254.055285,303,624.305877
250.28198,328,626.827924
264.650595,333,627.567625
268.491654,319,628.46159
283.858121,377,631.154259
262.204834,361,631.796123
238.402518,367,632.758916
250.752616,325,635.716386
241.513307,307,636.37479
276.826805,341,637.015537
247.902025,353,640.284439
256.587439,333,641.04045
228.81911,355,641.748387
225.936426,321,644.785554
236.053059,291,645.573304
271.854105,347,646.501364
238.651987,326,648.67324
239.057925,326,649.406153
239.820556,319,650.194911
257.603261,273,650.953019
285.318197,353,653.504742
232.099257,460,654.912038
259.936916,343,657.907073
232.879553,291,658.512887
252.250479,311,659.137507
262.577762,312,659.685641
116.26866,1000,663.819734
30.144967,261,666.077009
291.528605,275,666.754561
282.227844,277,667.520671
264.99417,322,670.186327
286.695249,352,670.850441
236.669149,316,671.612458
299.735953,276,672.248428
239.998271,302,674.981333
262.92029,272,675.547895
7.706152,257,676.104983
270.353953,350,679.013652
236.902045,284,679.657187
224.533245,315,680.436653
243.291212,303,681.038263
249.722496,294,683.387914
259.628812,308,684.292587
237.024174,300,685.229463
280.690732,389,687.63227
228.471332,286,688.238449
249.917135,299,689.098675
246.93982,326,691.970075
257.45473,294,692.616275
257.012252,340,693.359022
236.761781,425,696.830719
273.000147,308,697.484052
215.287017,303,698.231776
266.713211,264,698.803879
282.226304,248,701.790089
46.855802,206,702.761936
263.780955,302,703.571818
261.780471,306,706.745111
275.836225,639,708.272684
276.130287,293,708.846479
248.612837,329,712.32927
242.223882,336,713.492667
287.174034,317,714.68512
