#{"t_start": 1783434978.149409, "env_id": "LunarLander-v3"}
r,l,t
-113.084506,92,2.404303
-128.189177,116,2.63481
-219.085419,120,2.911189
-113.650186,80,3.063456
-107.460101,75,3.21882
-68.246669,75,3.359679
-213.207224,69,3.50301
-336.381251,100,3.683799
-94.533053,106,3.874775
-257.409797,105,4.102131
-370.626454,106,5.818635
-135.400914,100,5.996498
-99.531707,93,6.201383
-125.183288,92,6.371174
-209.608106,116,6.607267
-116.381686,80,6.763105
-123.888198,70,6.911262
-196.697635,99,7.103168
-86.443818,96,7.283231
-71.586234,79,7.441801
-129.660818,106,7.634014
-179.511269,87,9.276477
-44.648211,126,9.506253
-20.665647,93,9.683421
-246.965783,99,9.895235
-84.445616,82,10.036827
8.963376,93,10.256262
-61.249978,80,10.402407
-165.820375,85,10.555626
-138.023081,119,10.780542
-84.360342,63,10.916346
-201.277796,135,11.151788
-109.123005,78,12.919081
-121.564609,67,13.06648
-83.005931,79,13.204644
-122.636861,92,13.366537
-95.302031,71,13.494448
-135.245421,97,13.686984
-96.253187,101,13.882307
-93.419694,115,14.090121
-115.860651,76,14.250947
-84.451011,145,14.505232
-96.846132,71,14.642753
-145.261816,119,16.516723
-102.202615,89,16.700293
-80.990321,60,16.811798
-180.356109,95,16.991477
-169.28622,100,17.163704
-113.667305,82,17.327146
-151.428916,78,17.516292
-88.503693,85,17.697473
-71.54053,75,17.839049
-217.006616,64,17.951263
-99.762879,86,18.122915
-357.447487,111,18.331361
-130.299904,109,20.042096
-266.903699,115,20.261732
-224.708331,106,20.467166
-126.569349,122,20.701188
-16.632662,195,21.054558
-78.004087,108,21.273994
-134.493438,93,21.435983
-143.805718,100,21.634182
-212.654365,111,21.868567
-184.690979,184,23.722883
-271.16895,109,23.933777
-91.513944,84,24.088578
-85.77248,97,24.272609
-180.65978,75,24.414239
-150.760627,108,24.592861
-233.181811,130,24.846797
-193.287282,155,25.125959
-231.116367,124,26.821073
-236.193664,101,27.00688
-171.535691,110,27.205189
-93.915085,112,27.411929
-104.766944,94,27.588573
-99.66531,74,27.72085
-92.804609,80,27.870852
-209.022208,121,28.149389
-146.421807,106,28.422484
-66.184183,76,28.653213
-74.026907,99,28.947042
-109.57867,84,31.322958
-81.261812,77,31.478635
-129.962151,90,31.677095
-63.132329,129,31.982807
-120.4002,101,32.224573
-46.80872,68,32.384526
-86.306738,84,32.618458
-132.853858,103,32.923737
-75.728305,118,33.214712
-131.694043,60,33.538922
-113.246898,117,33.972974
-138.960156,97,36.859161
-118.378485,74,37.093768
-279.133024,142,37.439707
-334.400549,167,37.819606
-77.411614,86,38.009406
-62.953474,71,38.172812
-101.318686,100,38.380518
-119.749948,119,38.653486
-80.858366,106,38.895037
-68.033414,163,41.298831
-32.605471,138,41.560368
-68.658886,113,41.851533
-53.157808,138,42.27639
-43.312752,90,42.463696
-128.024062,84,42.623094
-64.552689,85,42.807839
-65.925829,126,43.030762
-59.314071,132,43.291228
-26.217827,91,45.05229
-127.097513,102,45.276708
-89.196414,85,45.456099
-77.671417,90,45.622324
-26.098628,158,45.95443
-65.613093,95,46.136521
-80.023538,99,46.341248
-56.730239,156,46.628571
-125.616264,95,46.8019
-31.494124,124,48.819171
-49.960283,116,49.089729
-59.360329,129,49.376762
-119.831418,102,49.602121
-43.897875,99,49.80466
-81.110195,147,50.142946
-205.339149,121,50.358939
-72.518665,165,50.660169
-27.486882,106,52.666303
-91.006431,152,53.0552
4.140404,140,53.307746
-36.976458,138,53.562644
-101.173618,98,53.74283
-59.149191,114,53.937423
-56.727113,103,54.126169
-49.887399,74,54.26613
-68.387008,94,54.455766
-65.641405,120,56.191969
-95.038372,97,56.3685
-27.862514,81,56.521537
-8.24649,133,56.825935
-188.755577,150,57.132333
-33.146662,106,57.373127
-7.05006,559,60.295196
-82.779215,131,60.556901
-33.742657,126,60.789643
-28.137494,158,61.095926
-106.300908,90,61.258852
-51.329567,117,61.477648
-198.736603,116,61.683775
-6.369299,136,61.944315
-57.69915,117,63.703487
29.377445,1000,67.151158
-38.539675,202,67.599926
27.753067,195,68.032936
-2.442001,152,68.348815
-77.368117,148,68.631684
-3.678506,204,69.025133
3.212962,1000,72.461128
-70.57792,152,74.330322
4.752574,182,74.672627
-90.347782,189,75.021684
-27.582903,169,75.334685
-19.566931,265,75.838989
-15.81009,203,77.719459
-104.804147,153,78.007788
0.77475,209,78.414505
-146.132585,137,78.661601
-24.23911,147,78.947173
19.3838,141,79.198915
-27.129689,152,79.496355
88.787631,1000,83.034554
-57.350589,216,84.959454
-33.800712,206,85.346647
-84.11212,224,85.77871
14.807379,153,86.067274
-141.359518,368,88.250836
13.542617,226,88.680252
-25.061093,290,89.223039
89.81514,1000,92.667883
15.783664,198,93.045579
-179.32017,217,93.445863
-9.617,138,95.181888
-12.633135,229,95.752347
-56.381833,252,96.26105
-170.404883,286,96.770274
-196.388023,186,98.623872
-16.815629,333,99.24157
60.589572,1000,102.984383
